m,f_re,f_im,f_R_hz,tau_s,Q,abs_res
-14.329999999999993,9.680072093581694,-0.13043274392966916,9.680072093581694,1.2202069687172532,37.1075230112513,4.7207330545682824e-15
-14.339999999999993,9.682591244989982,-0.13026971009089092,9.682591244989982,1.221734069883558,37.16363242934336,7.464134339039856e-15
-14.349999999999993,9.685110002039936,-0.13010672059721196,9.685110002039936,1.2232645812710299,37.219868265004436,8.995547373193812e-15
-14.359999999999992,9.687628365640686,-0.1299437753918557,9.687628365640686,1.2247985146802998,37.27623095614576,1.2224684831140492e-14
-14.369999999999992,9.690146336698126,-0.1297808744056972,9.690146336698126,1.226335882083629,37.33272094625656,8.865289006600649e-15
-14.379999999999992,9.692663916112837,-0.12961801754487787,9.692663916112837,1.2278766957440221,37.38933868802973,4.220308060520364e-15
-14.389999999999992,9.695181104793418,-0.1294552047725358,9.695181104793418,1.2294209674423258,37.4460846198834,8.931777008433754e-15
-14.399999999999991,9.697697903629928,-0.1292924359466489,9.697697903629928,1.230968710014628,37.50295921267806,5.9562715115723526e-15
-14.409999999999991,9.700214313535323,-0.12912971107221663,9.700214313535323,1.232519934958167,37.55996289696031,1.3992774630722241e-14
-14.419999999999991,9.702730335396065,-0.12896703000169074,9.702730335396065,1.2340746552805693,37.61709614956964,1.1022563465713405e-14
-14.42999999999999,9.705245970117335,-0.12880439270825306,9.705245970117335,1.2356328828969945,37.67435941451195,2.434909185329438e-15
-14.43999999999999,9.707761218593953,-0.1286417991103909,9.707761218593953,1.2371946303030192,37.731753153823156,8.67182973659664e-15
-14.44999999999999,9.710276081720888,-0.1284792491353062,9.710276081720888,1.2387599099702353,37.78927782919497,2.2650998591337196e-15
-14.45999999999999,9.712790560393126,-0.12831674271787802,9.712790560393126,1.2403287343555731,37.84693390225791,3.9224825225513435e-15
-14.46999999999999,9.715304655505106,-0.12815427979722807,9.715304655505106,1.2419011159339979,37.90472183557636,9.469004897397436e-15
-14.47999999999999,9.717818367947075,-0.12799186029542345,9.717818367947075,1.243477067405248,37.962642098946624,1.276032214398502e-14
-14.48999999999999,9.720331698608506,-0.1278294841377403,9.720331698608506,1.2450566014989224,38.02069516346691,3.1106063782808446e-15
-14.49999999999999,9.72284464838195,-0.1276671512746223,9.72284464838195,1.2466397307600314,38.07888149500308,7.659130848998449e-15
-14.50999999999999,9.725357218154237,-0.12750486163085797,9.725357218154237,1.2482264680437691,38.13720156926379,5.347542221830668e-15
-14.519999999999989,9.727869408814508,-0.12734261515181625,9.727869408814508,1.2498168260652793,38.19565585808437,3.0287934084557967e-15
-14.529999999999989,9.730381221248011,-0.12718041176792974,9.730381221248011,1.251410817746923,38.25424484001261,2.0009055870760584e-14
-14.539999999999988,9.732892656342502,-0.12701825143106063,9.732892656342502,1.25300845586177,38.31296898944104,2.929495491068304e-15
-14.549999999999988,9.735403714974614,-0.12685613403768312,9.735403714974614,1.254609753790997,38.3718287997121,5.558049685633555e-15
-14.559999999999988,9.73791439803466,-0.12669405956839208,9.73791439803466,1.2562147241479795,38.43082474114712,2.0471501066083613e-15
-14.569999999999988,9.740424706405003,-0.12653202796602403,9.740424706405003,1.2578233799795822,38.48995729769094,7.28550816809042e-15
-14.579999999999988,9.742934640961398,-0.12637003914389883,9.742934640961398,1.2594357346891696,38.5492269645775,2.9893669801409084e-15
-14.589999999999987,9.74544420258868,-0.12620809307273356,9.74544420258868,1.261051801172327,38.60863422194483,2.886579864025407e-15
-14.599999999999987,9.747953392162257,-0.1260461896781733,9.747953392162257,1.2626715928363783,38.668179565963726,3.887762621811037e-15
-14.609999999999987,9.750462210560181,-0.12588432890744064,9.750462210560181,1.2642951229371664,38.727863488589726,4.0412728104402654e-15
-14.619999999999987,9.75297065865736,-0.1257225106975736,9.75297065865736,1.2659224048964763,38.78768648726003,1.3420387677830782e-14
-14.629999999999987,9.755478737331128,-0.12556073500565929,9.755478737331128,1.267553451998524,38.84764905562009,5.0009355010672645e-15
-14.639999999999986,9.757986447456082,-0.1253990017806787,9.757986447456082,1.2691882776726993,38.9077516921653,1.6323299197467428e-14
-14.649999999999986,9.760493789903196,-0.12523731095905272,9.760493789903196,1.2708268955401978,38.96799490167297,1.167701839403815e-14
-14.659999999999986,9.763000765544165,-0.12507566248788773,9.763000765544165,1.2724693191795633,39.02837918803592,1.0438458340849585e-14
-14.669999999999986,9.765507375254092,-0.12491405633902096,9.765507375254092,1.2741155619824198,39.088905049845536,9.110765053448275e-15
-14.679999999999986,9.768013619900685,-0.1247524924516496,9.768013619900685,1.275765637737291,39.14957299825685,6.325592503836238e-15
-14.689999999999985,9.770519500348145,-0.12459097075343402,9.770519500348145,1.277419560417934,39.21038355052245,4.125789526923561e-15
-14.699999999999985,9.7730250174732,-0.12442949124420268,9.7730250174732,1.2790773433248332,39.271337203705464,1.767182481642117e-14
-14.709999999999985,9.775530172132864,-0.1242680538273863,9.775530172132864,1.2807390008132615,39.332434487593645,1.5553031891404223e-15
-14.719999999999985,9.778034965196609,-0.12410665847795606,9.778034965196609,1.2824045465712428,39.393675911971286,3.420135685938544e-15
-14.729999999999984,9.78053939752853,-0.12394530514942938,9.78053939752853,1.2840739945737918,39.455061995841795,6.8519741543802015e-15
-14.739999999999984,9.783043469989648,-0.1237839937860223,9.783043469989648,1.2857473589599686,39.51659326366941,1.042206157031943e-14
-14.749999999999984,9.785547183450724,-0.12362272438802502,9.785547183450724,1.2874246533537181,39.578270224558416,1.009997900029461e-14
-14.759999999999984,9.788050538760936,-0.12346149685216226,9.788050538760936,1.2891058925235117,39.640093423140414,7.216449660063518e-16
-14.769999999999984,9.790553536783877,-0.12330031115512015,9.790553536783877,1.2907910904755757,39.702063381116275,5.375130756895088e-15
-14.779999999999983,9.793056178385887,-0.12313916729323264,9.793056178385887,1.292480261076461,39.764180616332965,1.55130577703719e-14
-14.789999999999983,9.795558464418706,-0.1229780651956749,9.795558464418706,1.2941734189642526,39.82644567074882,7.947987303456223e-15
-14.799999999999983,9.798060395735325,-0.12281700480455073,9.798060395735325,1.2958705787132028,39.88885908481412,1.0206959624866795e-14
-14.809999999999983,9.80056197319972,-0.12265598612273872,9.80056197319972,1.2975717543262264,39.95142138188245,3.204296758965566e-15
-14.819999999999983,9.803063197657837,-0.12249500906988635,9.803063197657837,1.2992769607543244,40.01413311486411,1.4699453470135983e-14
-14.829999999999982,9.80556406996696,-0.12233407362800464,9.80556406996696,1.300986212360231,40.07699481905537,6.678201444714463e-15
-14.830499999999983,9.805689104355086,-0.12232602795383057,9.805689104355086,1.301071781321675,40.08014184869977,6.9979286851126974e-15
-14.830999999999984,9.80581413786781,-0.1223179823969441,9.80581413786781,1.3011573602923616,40.08328925033344,8.440616121040728e-15
-14.831499999999984,9.805939170496819,-0.12230993691619906,9.805939170496819,1.30124294971177,40.086437037472194,1.1102230246251565e-14
-14.831999999999985,9.806064202250962,-0.12230189155430576,9.806064202250962,1.3013285491273512,40.089585196222295,1.422645865968639e-14
-14.832499999999985,9.806189233126277,-0.12229384629137863,9.806189233126277,1.301414158752445,40.09273373315099,3.3514211068838185e-15
-14.832999999999986,9.80631426312502,-0.12228580113791919,9.80631426312502,1.3014997784770903,40.0958826448912,5.8167634697480146e-15
-14.833499999999987,9.80643929224176,-0.12227775606688797,9.80643929224176,1.3015854085908718,40.099031940353385,6.841172296658325e-15
-14.833999999999987,9.80656432048363,-0.12226971111257996,9.80656432048363,1.3016710487305663,40.10218160838798,6.6883450871102045e-15
-14.834499999999988,9.806689347846973,-0.12226166625662505,9.806689347846973,1.3017566990935,40.10533165507048,1.793620188084545e-15
-14.834999999999988,9.806814374335804,-0.12225362151809546,9.806814374335804,1.301842359478389,40.10848207422731,3.828257633024338e-15
-14.835499999999989,9.80693939994396,-0.12224557686638894,9.80693939994396,1.301928030212883,40.111632875939044,6.304121634963866e-15
