m,f_re,f_im,f_R_hz,tau_s,Q,abs_res,omega_R,omega_I_abs,omegaR_over_abs_omegaI,Q_from_f_tau,damping_ratio,inverse_damping_ratio,Q_consistency_error,Q_consistency_relative_error,fR_relative_to_start,tau_relative_to_start,Q_relative_to_start,spectral_ratio_relative_to_start
-14.559999999999988,9.73791439803466,-0.126694059568392,9.73791439803466,1.2562147241479795,38.43082474114712,2.0471501066083613e-15,61.18512066830392,0.7960422535870564,76.86164948229424,38.43082474114712,0.01301038953412467,76.86164948229424,0.0,0.0,1.0147135307978281,1.0721758944707773,1.0879513875147622,1.0879513875147622
-14.569999999999988,9.740424706405005,-0.126532027966024,9.740424706405005,1.2578233799795822,38.48995729769094,7.285508168090421e-15,61.20089340097296,0.7950241790037587,76.97991459538191,38.48995729769096,0.012990401525594716,76.97991459538191,1.4210854715202004e-14,3.6920941754473003e-16,1.0149751108205873,1.0735488779042535,1.089625391322187,1.089625391322187
-14.579999999999988,9.742934640961398,-0.1263700391438988,9.742934640961398,1.2594357346891696,38.5492269645775,2.9893669801409084e-15,61.21666378489967,0.7940063732166543,77.098453929155,38.5492269645775,0.012970428705598818,77.098453929155,0.0,0.0,1.0152366518910554,1.0749250183201595,1.0913032766332904,1.0913032766332902
-14.589999999999987,9.74544420258868,-0.1262080930727335,9.74544420258868,1.261051801172327,38.60863422194483,2.886579864025407e-15,61.232431825643665,0.7929888360417532,77.21726844388967,38.60863422194483,0.012950471055922617,77.21726844388967,0.0,0.0,1.015498154101435,1.0763043267248422,1.0929850570404653,1.0929850570404651
-14.599999999999987,9.747953392162255,-0.1260461896781733,9.747953392162255,1.2626715928363783,38.668179565963726,3.887762621811037e-15,61.24819752870529,0.7919715670118697,77.33635913192744,38.66817956596372,0.012930528553770013,77.33635913192744,-7.105427357601002e-15,-1.837538626683967e-16,1.0157596175429455,1.077686814561417,1.0946707465899805,1.09467074658998
-14.609999999999989,9.75046221056018,-0.1258843289074406,9.75046221056018,1.2642951229371664,38.727863488589726,4.0412728104402654e-15,61.26396089960151,0.7909545657953935,77.45572697717944,38.72786348858972,0.012910601178588475,77.45572697717944,-7.105427357601002e-15,-1.8347067763483655e-16,1.0160210423070821,1.0790724931437097,1.096360359208774,1.0963603592087736
-14.619999999999989,9.75297065865736,-0.1257225106975736,9.75297065865736,1.2659224048964763,38.78768648726003,1.3420387677830782e-14,61.27972194382953,0.7899378319967227,77.57537297452005,38.787686487260025,0.012890688908817158,77.57537297452005,-7.105427357601002e-15,-1.8318770726206645e-16,1.016282428485012,1.080461373927178,1.0980539089789658,1.0980539089789654
-14.629999999999988,9.755478737331128,-0.1255607350056592,9.755478737331128,1.267553451998524,38.84764905562009,5.000935501067265e-15,61.2954806669018,0.7889213653462279,77.69529811124018,38.84764905562009,0.012870791724979945,77.69529811124018,0.0,0.0,1.016543776168156,1.0818534682498648,1.0997514098753343,1.099751409875334
-14.639999999999986,9.757986447456082,-0.1253990017806787,9.757986447456082,1.2691882776726993,38.9077516921653,1.6323299197467428e-14,61.31123707431358,0.7879051655233471,77.8155033843306,38.9077516921653,0.012850909606804213,77.8155033843306,0.0,0.0,1.0168050854476482,1.083248787573718,1.1014528760099562,1.101452876009956
-14.649999999999986,9.760493789903196,-0.1252373109590527,9.760493789903196,1.2708268955401978,38.96799490167297,1.1677018394038151e-14,61.32699117153735,0.786889232128601,77.93598980334593,38.96799490167297,0.012831042532766656,77.93598980334593,0.0,0.0,1.017066356414247,1.0846473435243917,1.1031583216727456,1.1031583216727454
