m,f_re,f_im,abs_res,success,sigma_min_1e-4,sigma_min_1e-5,sigma_min_1e-6,jac_reliable
-14.599999999999987,9.563803837385587,-0.3041756019422129,4.022732240304917e-13,True,120.83500437816211,122.28007095834197,122.42572146718926,True
-14.609999999999987,9.566529003204424,-0.30410602913960605,5.271809080163987e-13,True,120.91831441705656,122.36345106133602,122.5091084198963,True
-14.619999999999987,9.569253793450626,-0.30403659641626934,6.203434012738203e-13,True,121.00172047624122,122.44692192565606,122.59258585491924,True
-14.629999999999987,9.57197820957379,-0.30396730345019873,8.362179742696249e-13,True,121.08522257578755,122.53048356266146,122.67615304589945,True
-14.639999999999986,9.574702253020762,-0.3038981499335433,9.833408443073953e-13,True,121.16882074804283,122.6141360047509,122.75981088581594,True
-14.649999999999986,9.577425925234904,-0.30382913557950475,1.2352813006317328e-12,True,121.25251505908287,122.69787923748085,122.84355894651277,True
-14.659999999999986,9.580149227659742,-0.30376026008652557,1.585393427807126e-12,True,121.33630554031086,122.78171333209816,122.92739725708532,True
-14.669999999999986,9.582872161741147,-0.3036915231165833,1.7653089413845584e-12,True,121.42019219392049,122.86563823493204,123.01132540614014,True
-14.679999999999986,9.58559472891842,-0.30362292438366445,2.3573013088454458e-12,True,121.50417507413742,122.94965401959297,123.09534453588898,True
-14.689999999999985,9.588316930627574,-0.30355446362132044,2.0305444943733396e-13,True,121.58825426324802,123.03376065720822,123.17945335248119,True
-14.699999999999985,9.591038768314391,-0.3034861404532564,2.940426519098331e-14,True,121.67242970385831,123.11795816300453,123.26365285806804,True
-14.709999999999985,9.593760243408134,-0.30341795465383287,5.193234342779929e-14,True,121.75670152600972,123.20224660249728,123.34794297380328,True
-14.719999999999985,9.59648135734778,-0.3033499058885333,4.832213032818602e-14,True,121.84106972541588,123.2866259545413,123.43232291808904,True
-14.729999999999984,9.599202111567497,-0.30328199385766347,5.383636408963325e-13,True,121.92553432806322,123.37109619026863,123.51679348482745,True
-14.739999999999984,9.601922507498516,-0.3032142182776011,6.354194544507217e-13,True,122.01009539639969,123.4556574468622,123.60135446346592,True
-14.749999999999984,9.604642546579504,-0.30314657877953405,1.2763556010395232e-12,True,122.09475287141429,123.54030952872988,123.68600592481435,True
-14.759999999999984,9.607362230231296,-0.3030790751567849,2.1658698455299331e-13,True,122.1795069064855,123.62505265587147,123.77074757468877,True
-14.769999999999984,9.610081559885948,-0.30301170708043546,3.4652755568144255e-14,True,122.2643574884803,123.70988670306163,122.64166433641589,True
-14.779999999999983,9.612800535138613,-0.30294447577486977,3.006733528978108e-07,True,122.34934519426803,122.71004943512841,123.94054307663767,True
-14.789999999999983,9.616155917422931,-0.30144477494161714,0.18606560031000632,False,12885.929186737272,36.74550174241553,12934.100811501967,False
-14.729999999999984,9.599202111567493,-0.3032819938576623,9.453866861275775e-14,True,121.92553432821735,123.37109621931162,123.51679348782305,True
-14.730499999999985,9.599338139859697,-0.30327860185813765,7.857591691784308e-14,True,121.92976011358692,123.3753221483798,123.52101942269876,True
-14.730999999999986,9.599474167257469,-0.3032752101887724,5.684474699295358e-14,True,121.93398612467206,123.37954828493115,123.5252456112013,True
-14.731499999999986,9.599610193760125,-0.30327181885802573,2.1650274146276322e-14,True,121.93821237497583,123.38377464254926,123.52947190689547,True
-14.731999999999987,9.5997462193719,-0.3032684278259811,1.240242981205526e-13,True,121.94243881233649,123.38800118119127,123.53369847542037,True
-14.732499999999987,9.599882244083686,-0.303265037183933,1.0290583192130829e-13,True,121.94666555254548,123.3922280010918,123.5379252801148,True
-14.732999999999988,9.600018267899252,-0.30326164689650076,1.2295062116593288e-14,True,121.95089255260987,123.39645507122566,123.54215230492431,True
-14.733499999999989,9.600154290824705,-0.303258256905399,1.099059253778804e-13,True,121.95511973628106,123.40068231279645,123.54637960645447,True
-14.73399999999999,9.600290312854552,-0.30325486726634804,1.0441623937364514e-13,True,121.95934717551022,123.4049097892303,123.5506069954843,True
-14.73449999999999,9.600426333988075,-0.30325147798808844,1.0753541643252304e-13,True,121.9635748819,123.40913750118152,123.55483480956492,True
-14.73499999999999,9.600562354227932,-0.3032480890463025,5.3619066939382256e-14,True,121.96780282273767,123.41336547930428,123.55906264179032,True
-14.735499999999991,9.60069837357448,-0.30324470043914437,1.3816577507213328e-13,True,121.97203099873244,123.41759363306544,123.56329053826003,True
-14.735999999999992,9.600834392028618,-0.3032413121594688,1.3444115802694707e-13,True,121.97625939731924,123.42182204464355,123.56751952797887,True
-14.736499999999992,9.600970409589094,-0.30323792422136114,2.72386019911898e-13,True,121.98048803945476,123.42605069017227,123.57174812454655,True
-14.736999999999993,9.601106426255088,-0.30323453663461364,5.24896022202741e-15,True,121.98471693550266,123.43027953873204,123.5759769315203,True
-14.737499999999994,9.60124244202914,-0.30323114937589446,6.262376313065793e-14,True,121.98894605753812,123.43450857964632,123.58020564276042,True
-14.737999999999994,9.60137845690882,-0.30322776247087674,1.284713343171009e-13,True,121.99317543744999,123.43873786608413,123.5844349532195,True
-14.738499999999995,9.601514470895852,-0.3032243759043262,1.6191264220742196e-13,True,121.99740505537305,123.4429673932871,123.58866418405448,True
-14.738999999999995,9.601650483990623,-0.3032209896741811,3.210949443246476e-14,True,122.00163490991277,123.44719718441829,123.59289427935344,True
-14.739499999999996,9.601786496189339,-0.30321760381938906,1.089810756747508e-13,True,122.00586504970751,123.45142721583672,123.59712452894838,True
-14.739999999999997,9.601922507499243,-0.3032142182705269,1.3854703725638065e-13,True,122.01009538778595,123.45565742584888,123.60135445171676,True
-14.740499999999997,9.602058517916303,-0.3032108330689886,1.6062983007505277e-13,True,122.0143259753205,123.45988788920349,123.60558516346738,True
-14.740999999999998,9.602194527440552,-0.30320744821603335,4.2874486049116504e-14,True,122.0185568133863,123.46411856317603,123.60981551491152,True
-14.741499999999998,9.602330536073952,-0.30320406369424885,3.505722582936907e-14,True,122.02278788308193,123.46834947784045,123.61404673220483,True
-14.741999999999999,9.602466543817975,-0.30320067949079627,7.283234396356385e-15,True,122.02701916468092,123.47258056920283,123.61827742335534,True
-14.7425,9.602602550666534,-0.30319729566727727,1.2872371985937136e-13,True,122.03125073836395,123.47681195975296,123.62250877687467,True
-14.743,9.602738556630582,-0.3031939121177194,2.272380012729765e-14,True,122.03548246928416,123.48104347601617,123.62674025271775,True
-14.743500000000001,9.602874561695632,-0.3031905289861931,8.908099565522551e-14,True,122.0397145401722,123.48527532744139,123.63097202959695,True
-14.744000000000002,9.60301056587237,-0.30318714616948134,1.231930528012259e-13,True,122.04394682198077,123.48950738167837,123.63520443175112,True
-14.744500000000002,9.603146569159415,-0.30318376368283295,7.230273641276935e-14,True,122.04817933009097,123.49373963689442,123.63943627826656,True
-14.745000000000003,9.603282571557436,-0.30318038152141874,1.1380193528196692e-13,True,122.05241206110992,123.49797211260439,123.64366876512423,True
-14.745500000000003,9.603418573061408,-0.30317699973627293,1.061758700160918e-13,True,122.05664507978426,123.50220484844498,123.64790142934349,True
-14.746000000000004,9.603554573675739,-0.30317361828586015,1.3506528162472208e-13,True,122.06087833289605,123.5064377893611,123.65213407468187,True
-14.746500000000005,9.603690573402996,-0.30317023714666824,2.4898963629882405e-14,True,122.06511179104439,123.5106709694262,123.65636749019124,True
-14.747000000000005,9.603826572238894,-0.3031668563625264,8.521271359337681e-14,True,122.06934550976496,123.5149043694594,123.66060083445608,True
-14.747500000000006,9.603962570184512,-0.3031634759245198,2.4405974948771956e-14,True,122.07357947756884,123.51913800081518,123.66483465115735,True
-14.748000000000006,9.604098567240154,-0.3031600958313627,2.7100587239253802e-14,True,122.0778136937578,123.52337187886913,123.66906849266499,True
-14.748500000000007,9.604234563408554,-0.30315671605799616,1.0918438085113181e-13,True,122.08204812536624,123.52760594580907,123.67330224100496,True
-14.749000000000008,9.60437055868586,-0.303153336643893,1.3754253022439701e-14,True,122.08628282299453,123.53184027074695,123.67753649033223,True
-14.749500000000008,9.604506553075463,-0.30314995755752155,5.544185782133914e-14,True,122.09051774660684,123.53607481305174,123.68177130077149,True
-14.750000000000009,9.604642546577287,-0.3031465788013255,1.74344787427351e-14,True,122.09475289934255,123.54030956498552,123.68600575807879,True
-14.75050000000001,9.604778539190375,-0.3031432003864258,8.366228494818544e-14,True,122.09898829577509,123.54454454343619,123.6902408745192,True
-14.75100000000001,9.604914530913547,-0.303139822326109,1.3498715254659882e-14,True,122.10322395513717,123.54877976981045,123.69447613687389,True
